"timePoint","genotype","predicted.values","standard.errors"
2018-05-31 16:37:00,"1931",0.636534098728076,0.0107353478655811
2018-05-31 16:37:00,"1940",0.635034712579742,0.0105772789791082
2018-05-31 16:37:00,"1942",0.65953606153558,0.010345533279268
2018-05-31 16:37:00,"1947",0.653515806854202,0.0105511220680535
2018-05-31 16:37:00,"1959",0.647477449255233,0.0102372118148539
2018-05-31 16:37:00,"1961",0.642472440371497,0.010538908358887
2018-05-31 16:37:00,"1962",0.647283427938304,0.0104914894573345
2018-05-31 16:37:00,"1964",0.628367356319564,0.0105454238811872
2018-05-31 16:37:00,"1968",0.634619437893629,0.010366846463159
2018-05-31 16:37:00,"1970",0.658145631467922,0.0105491704780497
2018-05-31 16:37:00,"1977",0.631137772933942,0.0104255150602122
2018-05-31 16:37:00,"1979",0.647781865726039,0.010554530940981
