"timeNumber","timePoint","Biomass_Estimated_corr","Biomass_Estimated","genotype","geno.decomp","colId","rowId","plotId"
5,2017-04-17,NA,NA,"GenoA15","WW_Panel1","19","14","c19r14"
5,2017-04-17,NA,NA,"GenoA54","WW_Panel1","2","14","c2r14"
5,2017-04-17,0.733171600278627,0.826923861987808,"GenoA51","WD_Panel1","20","14","c20r14"
5,2017-04-17,NA,NA,"GenoA22","WD_Panel1","21","14","c21r14"
5,2017-04-17,NA,NA,"GenoA4","WW_Panel1","22","14","c22r14"
5,2017-04-17,1.17767171662211,1.33278480239125,"GenoA9","WW_Panel1","23","14","c23r14"
5,2017-04-17,NA,NA,"GenoA12","WD_Panel1","24","14","c24r14"
5,2017-04-17,NA,NA,"GenoA2","WW_Panel1","25","14","c25r14"
5,2017-04-17,-0.00622140519883596,0.211034311154702,"GenoA19","WW_Panel1","26","14","c26r14"
5,2017-04-17,NA,NA,"GenoB13","WD_Panel2","27","14","c27r14"
5,2017-04-17,NA,NA,"GenoA6","WD_Panel1","28","14","c28r14"
5,2017-04-17,NA,NA,"GenoA30","WW_Panel1","3","14","c3r14"
5,2017-04-17,NA,NA,"GenoA35","WD_Panel1","4","14","c4r14"
5,2017-04-17,NA,NA,"GenoA53","WW_Panel1","5","14","c5r14"
5,2017-04-17,NA,NA,"GenoA54","WW_Panel1","6","14","c6r14"
5,2017-04-17,NA,NA,"GenoB15","WD_Panel2","7","14","c7r14"
5,2017-04-17,NA,NA,"GenoA28","WD_Panel1","8","14","c8r14"
5,2017-04-17,NA,NA,"GenoB26","WW_Panel2","9","14","c9r14"
5,2017-04-17,NA,NA,"GenoA33","WW_Panel1","5","1","c5r1"
5,2017-04-17,NA,NA,"GenoA2","WD_Panel1","1","15","c1r15"
5,2017-04-17,NA,NA,"GenoA7","WW_Panel1","10","15","c10r15"
5,2017-04-17,NA,NA,"GenoA51","WW_Panel1","11","15","c11r15"
5,2017-04-17,NA,NA,"GenoA23","WD_Panel1","12","15","c12r15"
5,2017-04-17,NA,NA,"GenoA24","WD_Panel1","13","15","c13r15"
5,2017-04-17,NA,NA,"GenoA31","WW_Panel1","14","15","c14r15"
5,2017-04-17,NA,NA,"GenoA57","WW_Panel1","15","15","c15r15"
5,2017-04-17,NA,NA,"GenoA3","WD_Panel1","16","15","c16r15"
5,2017-04-17,NA,NA,"GenoB10","WW_Panel2","17","15","c17r15"
5,2017-04-17,NA,NA,"GenoA22","WW_Panel1","18","15","c18r15"
5,2017-04-17,NA,NA,"GenoA5","WW_Panel1","19","15","c19r15"
5,2017-04-17,NA,NA,"GenoA49","WW_Panel1","2","15","c2r15"
5,2017-04-17,NA,NA,"GenoA12","WD_Panel1","20","15","c20r15"
5,2017-04-17,NA,NA,"GenoA28","WD_Panel1","21","15","c21r15"
5,2017-04-17,NA,NA,"GenoA27","WW_Panel1","22","15","c22r15"
5,2017-04-17,NA,NA,"GenoA39","WW_Panel1","23","15","c23r15"
5,2017-04-17,NA,NA,"GenoA30","WD_Panel1","24","15","c24r15"
5,2017-04-17,NA,NA,"GenoA13","WW_Panel1","25","15","c25r15"
5,2017-04-17,0.767114082893497,0.984077743461556,"GenoA9","WW_Panel1","26","15","c26r15"
5,2017-04-17,NA,NA,"GenoB28","WD_Panel2","27","15","c27r15"
5,2017-04-17,NA,NA,"GenoA34","WD_Panel1","28","15","c28r15"
5,2017-04-17,0.388945612279458,0.0773589657293943,"GenoA23","WW_Panel1","3","15","c3r15"
5,2017-04-17,NA,NA,"GenoA12","WD_Panel1","4","15","c4r15"
5,2017-04-17,NA,NA,"GenoA8","WW_Panel1","5","15","c5r15"
5,2017-04-17,NA,NA,"GenoA55","WW_Panel1","6","15","c6r15"
5,2017-04-17,NA,NA,"GenoB12","WD_Panel2","7","15","c7r15"
5,2017-04-17,NA,NA,"GenoA26","WD_Panel1","8","15","c8r15"
5,2017-04-17,NA,NA,"GenoB19","WW_Panel2","9","15","c9r15"
5,2017-04-17,NA,NA,"GenoA49","WW_Panel1","6","1","c6r1"
5,2017-04-17,NA,NA,"GenoA60","WD_Panel1","1","16","c1r16"
5,2017-04-17,NA,NA,"GenoA25","WW_Panel1","10","16","c10r16"
5,2017-04-17,NA,NA,"GenoA18","WW_Panel1","11","16","c11r16"
5,2017-04-17,NA,NA,"GenoA40","WD_Panel1","12","16","c12r16"
5,2017-04-17,NA,NA,"GenoA46","WD_Panel1","13","16","c13r16"
5,2017-04-17,NA,NA,"GenoA36","WW_Panel1","14","16","c14r16"
5,2017-04-17,NA,NA,"GenoA16","WW_Panel1","15","16","c15r16"
5,2017-04-17,NA,NA,"GenoA40","WD_Panel1","16","16","c16r16"
5,2017-04-17,NA,NA,"GenoB25","WW_Panel2","17","16","c17r16"
5,2017-04-17,NA,NA,"GenoA58","WW_Panel1","18","16","c18r16"
5,2017-04-17,NA,NA,"GenoA43","WW_Panel1","19","16","c19r16"
5,2017-04-17,NA,NA,"GenoA41","WW_Panel1","2","16","c2r16"
5,2017-04-17,NA,NA,"GenoA28","WD_Panel1","20","16","c20r16"
5,2017-04-17,NA,NA,"GenoA53","WD_Panel1","21","16","c21r16"
5,2017-04-17,0.344560678617865,0.471096762939101,"GenoA51","WW_Panel1","22","16","c22r16"
5,2017-04-17,NA,NA,"GenoA8","WW_Panel1","23","16","c23r16"
5,2017-04-17,NA,NA,"GenoA2","WD_Panel1","24","16","c24r16"
5,2017-04-17,NA,NA,"GenoA34","WW_Panel1","25","16","c25r16"
5,2017-04-17,NA,NA,"GenoA27","WW_Panel1","26","16","c26r16"
5,2017-04-17,NA,NA,"GenoB1","WD_Panel2","27","16","c27r16"
5,2017-04-17,NA,NA,"GenoA5","WD_Panel1","28","16","c28r16"
5,2017-04-17,NA,NA,"GenoA15","WW_Panel1","3","16","c3r16"
5,2017-04-17,NA,NA,"GenoA25","WD_Panel1","4","16","c4r16"
5,2017-04-17,NA,NA,"GenoA11","WW_Panel1","5","16","c5r16"
5,2017-04-17,0.309072086556883,0.0322705723527502,"GenoA56","WW_Panel1","6","16","c6r16"
5,2017-04-17,0.925731166827761,0.67483502522436,"GenoB5","WD_Panel2","7","16","c7r16"
5,2017-04-17,NA,NA,"GenoA13","WD_Panel1","8","16","c8r16"
5,2017-04-17,NA,NA,"GenoB10","WW_Panel2","9","16","c9r16"
5,2017-04-17,NA,NA,"GenoB9","WD_Panel2","7","1","c7r1"
5,2017-04-17,1.51705018002481,1.09200763988145,"GenoA19","WD_Panel1","1","17","c1r17"
5,2017-04-17,NA,NA,"GenoA8","WW_Panel1","10","17","c10r17"
5,2017-04-17,NA,NA,"GenoA2","WW_Panel1","11","17","c11r17"
5,2017-04-17,NA,NA,"GenoA51","WD_Panel1","12","17","c12r17"
5,2017-04-17,NA,NA,"GenoA30","WD_Panel1","13","17","c13r17"
5,2017-04-17,NA,NA,"GenoA7","WW_Panel1","14","17","c14r17"
5,2017-04-17,NA,NA,"GenoA11","WW_Panel1","15","17","c15r17"
5,2017-04-17,NA,NA,"GenoA27","WD_Panel1","16","17","c16r17"
5,2017-04-17,NA,NA,"GenoB24","WW_Panel2","17","17","c17r17"
5,2017-04-17,NA,NA,"GenoA46","WW_Panel1","18","17","c18r17"
5,2017-04-17,NA,NA,"GenoA29","WW_Panel1","19","17","c19r17"
5,2017-04-17,NA,NA,"GenoA52","WW_Panel1","2","17","c2r17"
5,2017-04-17,NA,NA,"GenoA10","WD_Panel1","20","17","c20r17"
5,2017-04-17,NA,NA,"GenoA54","WD_Panel1","21","17","c21r17"
5,2017-04-17,NA,NA,"GenoA8","WW_Panel1","22","17","c22r17"
5,2017-04-17,NA,NA,"GenoA17","WW_Panel1","23","17","c23r17"
5,2017-04-17,NA,NA,"GenoA43","WD_Panel1","24","17","c24r17"
5,2017-04-17,NA,NA,"GenoA46","WW_Panel1","25","17","c25r17"
5,2017-04-17,1.0908981605428,1.38484280912188,"GenoB8","WD_Panel2","27","17","c27r17"
5,2017-04-17,NA,NA,"GenoA59","WD_Panel1","28","17","c28r17"
5,2017-04-17,NA,NA,"GenoA33","WW_Panel1","3","17","c3r17"
5,2017-04-17,NA,NA,"GenoA43","WD_Panel1","4","17","c4r17"
5,2017-04-17,NA,NA,"GenoA43","WW_Panel1","5","17","c5r17"
5,2017-04-17,NA,NA,"GenoA53","WW_Panel1","6","17","c6r17"
