"timeNumber","timePoint","LeafArea_corr","LeafArea","wt","genotype","geno.decomp","rowId","colId","plotId"
1,2017-04-13,0.00273861150341631,0.002614596,2262.64804341651,"GenoA24","WD_Panel1","54","24","c24r54"
1,2017-04-13,0.00312701038505059,0.003363324,2262.64804341651,"GenoA24","WD_Panel1","2","21","c21r2"
1,2017-04-13,0.00125831523485923,0.001109842,2263.00468312861,"GenoA25","WD_Panel1","35","21","c21r35"
1,2017-04-13,0.00266200124088546,0.002544444,2263.00468312861,"GenoA25","WD_Panel1","27","28","c28r27"
1,2017-04-13,0.00197238135818502,0.001800946,2263.00468312861,"GenoA25","WD_Panel1","52","20","c20r52"
1,2017-04-13,0.00156541165903058,0.001340526,2263.00468312861,"GenoA25","WD_Panel1","43","24","c24r43"
1,2017-04-13,0.00210564613040118,0.001832701,2263.00468312861,"GenoA25","WD_Panel1","55","16","c16r55"
1,2017-04-13,0.00314491176567509,0.003006334,2263.39694473037,"GenoA26","WD_Panel1","29","28","c28r29"
1,2017-04-13,0.00357182680478898,0.00358876,2263.39694473037,"GenoA26","WD_Panel1","31","21","c21r31"
1,2017-04-13,0.00370443646507795,0.003676158,2263.39694473037,"GenoA26","WD_Panel1","29","16","c16r29"
1,2017-04-13,0.00253347309686512,0.002387746,2263.39694473037,"GenoA26","WD_Panel1","39","24","c24r39"
1,2017-04-13,0.00319302760371576,0.002939588,2263.39694473037,"GenoA26","WD_Panel1","47","20","c20r47"
1,2017-04-13,0.00160232036123487,0.001751376,2263.13711732226,"GenoA27","WD_Panel1","17","16","c16r17"
1,2017-04-13,0.00152512835380744,0.001620921,2263.13711732226,"GenoA27","WD_Panel1","5","28","c28r5"
1,2017-04-13,0.00146281706876508,0.00168922,2263.13711732226,"GenoA27","WD_Panel1","18","20","c20r18"
1,2017-04-13,0.00191783083561408,0.001677811,2263.13711732226,"GenoA27","WD_Panel1","40","21","c21r40"
1,2017-04-13,0.00190423768348096,0.001697557,2263.13711732226,"GenoA27","WD_Panel1","42","24","c24r42"
1,2017-04-13,0.00249212139721732,0.002654479,2262.19985005,"GenoA28","WD_Panel1","15","21","c21r15"
1,2017-04-13,0.00313271155636993,0.00297076,2262.19985005,"GenoA28","WD_Panel1","38","28","c28r38"
1,2017-04-13,0.00300669644256797,0.002810433,2262.19985005,"GenoA28","WD_Panel1","44","16","c16r44"
1,2017-04-13,0.00348482313731642,0.003728883,2262.19985005,"GenoA28","WD_Panel1","16","20","c20r16"
1,2017-04-13,0.00190806989801722,0.002184284,2262.19985005,"GenoA28","WD_Panel1","9","24","c24r9"
1,2017-04-13,0.00276048520753842,0.002530379,2263.24991740839,"GenoA29","WD_Panel1","50","24","c24r50"
1,2017-04-13,0.00249291219442967,0.002501707,2263.24991740839,"GenoA29","WD_Panel1","34","20","c20r34"
1,2017-04-13,0.00186359937195471,0.001710268,2263.24991740839,"GenoA29","WD_Panel1","37","28","c28r37"
1,2017-04-13,0.00241287548606919,0.002063422,2263.24991740839,"GenoA29","WD_Panel1","44","21","c21r44"
1,2017-04-13,0.00262889440236387,0.002574922,2263.24991740839,"GenoA29","WD_Panel1","32","16","c16r32"
1,2017-04-13,0.00337744902909811,0.003599006,2263.44221134962,"GenoA30","WD_Panel1","22","20","c20r22"
1,2017-04-13,0.0028184104267361,0.003010205,2263.44221134962,"GenoA30","WD_Panel1","14","16","c16r14"
1,2017-04-13,0.00296843149268456,0.003248618,2263.44221134962,"GenoA30","WD_Panel1","15","24","c24r15"
1,2017-04-13,0.00276580456952539,0.002634027,2263.44221134962,"GenoA30","WD_Panel1","28","28","c28r28"
1,2017-04-13,0.00273774520180128,0.003006389,2263.44221134962,"GenoA30","WD_Panel1","8","21","c21r8"
1,2017-04-13,0.00495480978164767,0.005248721,2262.26561033924,"GenoA31","WD_Panel1","12","24","c24r12"
1,2017-04-13,0.00382071304935128,0.00354905,2262.26561033924,"GenoA31","WD_Panel1","59","16","c16r59"
1,2017-04-13,0.00500544991404223,0.00507742,2262.26561033924,"GenoA31","WD_Panel1","11","28","c28r11"
1,2017-04-13,0.00371996419036117,0.003912996,2262.26561033924,"GenoA31","WD_Panel1","13","21","c21r13"
1,2017-04-13,0.00450610053349487,0.004295785,2262.26561033924,"GenoA31","WD_Panel1","50","20","c20r50"
1,2017-04-13,0.00347683179888401,0.003436315,2262.55429366703,"GenoA32","WD_Panel1","60","24","c24r60"
1,2017-04-13,0.00314878737149187,0.003013698,2262.55429366703,"GenoA32","WD_Panel1","34","28","c28r34"
1,2017-04-13,0.00258977091193959,0.002397436,2262.55429366703,"GenoA32","WD_Panel1","37","21","c21r37"
1,2017-04-13,0.00349893207842611,0.003451814,2262.55429366703,"GenoA32","WD_Panel1","36","20","c20r36"
1,2017-04-13,0.0030298548384425,0.003235981,2262.55429366703,"GenoA32","WD_Panel1","13","16","c16r13"
1,2017-04-13,0.00320484975460213,0.00349656,2263.08295453684,"GenoA33","WD_Panel1","5","16","c16r5"
1,2017-04-13,0.00286818685966388,0.002815315,2263.08295453684,"GenoA33","WD_Panel1","58","24","c24r58"
1,2017-04-13,0.00289012605987657,0.002774878,2263.08295453684,"GenoA33","WD_Panel1","34","21","c21r34"
1,2017-04-13,0.00294112200706668,0.003330979,2263.08295453684,"GenoA33","WD_Panel1","5","20","c20r5"
1,2017-04-13,0.00378230861012179,0.003891773,2263.08295453684,"GenoA33","WD_Panel1","4","28","c28r4"
1,2017-04-13,0.00258468219611025,0.002395483,2262.93390942801,"GenoA34","WD_Panel1","42","16","c16r42"
1,2017-04-13,0.00258083608405005,0.002811875,2262.93390942801,"GenoA34","WD_Panel1","19","24","c24r19"
1,2017-04-13,0.00273530102822589,0.002795141,2262.93390942801,"GenoA34","WD_Panel1","15","28","c28r15"
1,2017-04-13,0.00200531474438106,0.002134545,2262.93390942801,"GenoA34","WD_Panel1","31","20","c20r31"
1,2017-04-13,0.00250382233861309,0.002622331,2262.93390942801,"GenoA34","WD_Panel1","21","21","c21r21"
1,2017-04-13,0.00216460271878997,0.002246353,2263.60075779024,"GenoA35","WD_Panel1","21","16","c16r21"
1,2017-04-13,0.00307976729724794,0.00293023,2263.60075779024,"GenoA35","WD_Panel1","53","24","c24r53"
1,2017-04-13,0.00129476099528893,0.001382228,2263.60075779024,"GenoA35","WD_Panel1","6","28","c28r6"
1,2017-04-13,0.00134467224975239,0.001569565,2263.60075779024,"GenoA35","WD_Panel1","11","21","c21r11"
1,2017-04-13,0.00234695264862208,0.002103671,2263.60075779024,"GenoA35","WD_Panel1","48","20","c20r48"
1,2017-04-13,0.00145511257888517,0.00166403,2084.0632354865,"GenoA36","WD_Panel1","21","24","c24r21"
1,2017-04-13,0.00138158239802799,0.001638823,2084.0632354865,"GenoA36","WD_Panel1","9","16","c16r9"
1,2017-04-13,NA,NA,2084.0632354865,"GenoA36","WD_Panel1","32","20","c20r32"
1,2017-04-13,NA,NA,2084.0632354865,"GenoA36","WD_Panel1","20","21","c21r20"
1,2017-04-13,NA,NA,2084.0632354865,"GenoA36","WD_Panel1","39","28","c28r39"
1,2017-04-13,0.00201313316458302,0.00179477,2263.50549988452,"GenoA37","WD_Panel1","48","28","c28r48"
1,2017-04-13,0.00241180564939902,0.002365924,2263.50549988452,"GenoA37","WD_Panel1","31","16","c16r31"
1,2017-04-13,0.00228510508164594,0.002183667,2263.50549988452,"GenoA37","WD_Panel1","55","24","c24r55"
1,2017-04-13,0.00225483931498177,0.002523684,2263.50549988452,"GenoA37","WD_Panel1","5","21","c21r5"
1,2017-04-13,0.00272475416637605,0.00289175,2263.50549988452,"GenoA37","WD_Panel1","30","20","c20r30"
1,2017-04-13,0.00232789380181012,0.002373434,2262.71424258928,"GenoA38","WD_Panel1","33","20","c20r33"
1,2017-04-13,0.00224423213699192,0.002074447,2262.71424258928,"GenoA38","WD_Panel1","58","21","c21r58"
1,2017-04-13,0.0021782507537378,0.002480281,2262.71424258928,"GenoA38","WD_Panel1","3","16","c16r3"
1,2017-04-13,0.00214883193480556,0.001865192,2262.71424258928,"GenoA38","WD_Panel1","51","28","c28r51"
1,2017-04-13,0.0025869381179433,0.002318162,2262.71424258928,"GenoA38","WD_Panel1","47","24","c24r47"
1,2017-04-13,0.00201580740837246,0.002114646,2263.44692975438,"GenoA39","WD_Panel1","20","16","c16r20"
1,2017-04-13,0.00241271857399018,0.002590826,2263.44692975438,"GenoA39","WD_Panel1","25","24","c24r25"
1,2017-04-13,0.00192548665592486,0.001697287,2263.44692975438,"GenoA39","WD_Panel1","44","20","c20r44"
1,2017-04-13,0.00259094487325532,0.002408952,2263.44692975438,"GenoA39","WD_Panel1","45","28","c28r45"
1,2017-04-13,0.00263541290350995,0.002342625,2263.44692975438,"GenoA39","WD_Panel1","42","21","c21r42"
1,2017-04-13,0.00253120649023992,0.002886942,2224.09880815093,"GenoA40","WD_Panel1","10","20","c20r10"
1,2017-04-13,0.00239187163812675,0.002555131,2224.09880815093,"GenoA40","WD_Panel1","16","16","c16r16"
1,2017-04-13,0.00191949859710376,0.002174524,2224.09880815093,"GenoA40","WD_Panel1","9","21","c21r9"
1,2017-04-13,0.00266999326807397,0.002531361,2224.09880815093,"GenoA40","WD_Panel1","35","28","c28r35"
1,2017-04-13,0.00251248751784969,0.002554714,2263.07509735236,"GenoA41","WD_Panel1","31","24","c24r31"
1,2017-04-13,0.00249735682482502,0.002831647,2263.07509735236,"GenoA41","WD_Panel1","1","20","c20r1"
1,2017-04-13,0.00253972640887386,0.002404147,2263.07509735236,"GenoA41","WD_Panel1","33","28","c28r33"
1,2017-04-13,0.00236503006269142,0.002178625,2263.07509735236,"GenoA41","WD_Panel1","57","21","c21r57"
1,2017-04-13,0.00217049336797003,0.001899439,2263.07509735236,"GenoA41","WD_Panel1","54","16","c16r54"
1,2017-04-13,0.00304568788710011,0.002856557,2263.87559861335,"GenoA42","WD_Panel1","46","28","c28r46"
1,2017-04-13,0.00252160409439176,0.002259197,2263.87559861335,"GenoA42","WD_Panel1","48","24","c24r48"
1,2017-04-13,0.00281391630504575,0.003126848,2263.87559861335,"GenoA42","WD_Panel1","12","20","c20r12"
1,2017-04-13,0.00253083366352018,0.002754092,2263.87559861335,"GenoA42","WD_Panel1","1","21","c21r1"
1,2017-04-13,0.00285185524009686,0.002579623,2263.87559861335,"GenoA42","WD_Panel1","58","16","c16r58"
1,2017-04-13,0.00201609948649482,0.002269603,2226.51568434419,"GenoA43","WD_Panel1","17","24","c24r17"
1,2017-04-13,0.00227496666285947,0.002147653,2226.51568434419,"GenoA43","WD_Panel1","55","20","c20r55"
1,2017-04-13,0.00166219609954785,0.001691835,2226.51568434419,"GenoA43","WD_Panel1","19","28","c28r19"
1,2017-04-13,0.00237876947639026,0.002117081,2226.51568434419,"GenoA43","WD_Panel1","41","21","c21r41"
1,2017-04-13,0.00279858705988939,0.002459623,2262.50550487497,"GenoA44","WD_Panel1","55","28","c28r55"
1,2017-04-13,0.00312251012173219,0.003425027,2262.50550487497,"GenoA44","WD_Panel1","4","24","c24r4"
1,2017-04-13,0.00299176728686225,0.003227995,2262.50550487497,"GenoA44","WD_Panel1","11","16","c16r11"
1,2017-04-13,0.00250460755134075,0.002126061,2262.50550487497,"GenoA44","WD_Panel1","47","21","c21r47"
1,2017-04-13,0.00315382648109265,0.003552099,2262.50550487497,"GenoA44","WD_Panel1","6","20","c20r6"
1,2017-04-13,0.00249845528539714,0.002203671,2261.13649384386,"GenoA45","WD_Panel1","51","21","c21r51"
1,2017-04-13,0.00176568475618445,0.001912646,2261.13649384386,"GenoA45","WD_Panel1","1","28","c28r1"
1,2017-04-13,0.00227465053735179,0.002652744,2261.13649384386,"GenoA45","WD_Panel1","9","20","c20r9"
1,2017-04-13,0.00179374541862838,0.001585085,2261.13649384386,"GenoA45","WD_Panel1","47","16","c16r47"
1,2017-04-13,0.00275152304355282,0.003039784,2261.13649384386,"GenoA45","WD_Panel1","11","24","c24r11"
1,2017-04-13,0.00281214770512816,0.003019878,2225.88691114605,"GenoA46","WD_Panel1","12","21","c21r12"
1,2017-04-13,0.00288701398980819,0.002785046,2225.88691114605,"GenoA46","WD_Panel1","57","20","c20r57"
1,2017-04-13,0.0026099900824118,0.002473959,2225.88691114605,"GenoA46","WD_Panel1","32","28","c28r32"
1,2017-04-13,0.00321622193787857,0.003116557,2225.88691114605,"GenoA46","WD_Panel1","36","16","c16r36"
1,2017-04-13,0.00286320331021156,0.002665795,2260.85395474657,"GenoA47","WD_Panel1","45","16","c16r45"
1,2017-04-13,0.00329837538957392,0.00311856,2260.85395474657,"GenoA47","WD_Panel1","44","28","c28r44"
1,2017-04-13,0.00298893076811016,0.002923316,2260.85395474657,"GenoA47","WD_Panel1","37","20","c20r37"
1,2017-04-13,0.00318163252597417,0.003106463,2260.85395474657,"GenoA47","WD_Panel1","33","21","c21r33"
1,2017-04-13,0.00280623323837114,0.002741739,2260.85395474657,"GenoA47","WD_Panel1","35","24","c24r35"
1,2017-04-13,0.00296570403725212,0.003163595,2262.68955614502,"GenoA48","WD_Panel1","29","20","c20r29"
1,2017-04-13,0.00352528321896081,0.00349731,2262.68955614502,"GenoA48","WD_Panel1","32","21","c21r32"
1,2017-04-13,0.00344324668801429,0.003264076,2262.68955614502,"GenoA48","WD_Panel1","41","16","c16r41"
1,2017-04-13,0.00356540147594628,0.003213025,2262.68955614502,"GenoA48","WD_Panel1","57","28","c28r57"
1,2017-04-13,0.00216201461808866,0.002438832,2262.68955614502,"GenoA48","WD_Panel1","10","24","c24r10"
1,2017-04-13,0.00317266356986665,0.002992322,2225.64830317231,"GenoA49","WD_Panel1","42","28","c28r42"
1,2017-04-13,0.00263207746916812,0.002390708,2225.64830317231,"GenoA49","WD_Panel1","44","24","c24r44"
1,2017-04-13,0.00307363557568604,0.002708083,2225.64830317231,"GenoA49","WD_Panel1","48","21","c21r48"
1,2017-04-13,0.00267994743114752,0.002912057,2225.64830317231,"GenoA49","WD_Panel1","25","20","c20r25"
1,2017-04-13,0.00394974789700604,0.004042749,2263.36401909601,"GenoA50","WD_Panel1","29","21","c21r29"
1,2017-04-13,0.00250161373938872,0.002582982,2263.36401909601,"GenoA50","WD_Panel1","7","28","c28r7"
1,2017-04-13,0.00222380432380693,0.002054944,2263.36401909601,"GenoA50","WD_Panel1","40","16","c16r40"
1,2017-04-13,0.0030885205281652,0.003290313,2263.36401909601,"GenoA50","WD_Panel1","22","24","c24r22"
1,2017-04-13,0.00335176849073362,0.003689227,2263.36401909601,"GenoA50","WD_Panel1","11","20","c20r11"
